spf_result,dkim_result,dmarc_result,dmarc_policy,compauth,lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx
1,2,0,1,1,1,0.25,1,1,1,5,1.609438,1,0.17122,1,1,1,1
2,0,0,1,0,0.3333,0.1333,0.1818,1,0,9,14.804665,1,0.1582,1,1,1,1
2,1,0,1,0,0.3333,1,0.4667,0,0,7,1.791759,1,0.079232,0,0,0,1
2,1,0,1,0,0.3333,1,0.4667,0,0,7,1.791759,1,0.079232,0,0,0,1
2,1,0,1,0,0.3333,1,0.4667,0,0,7,1.94591,1,0.079232,0,0,0,1
2,1,1,1,0,0.3333,1,0.4667,0,0,7,1.791759,1,0.079232,0,0,0,0
2,1,1,1,0,0.3529,1,0.4667,0,0,7,2.079442,1,0.079232,0,0,0,0
2,1,1,1,0,0.3,1,0.4667,0,0,7,1.791759,1,0.079232,0,0,0,0
2,1,1,1,0,0.3043,1,0.4667,0,0,7,2.484907,1,0.079232,0,0,0,0
2,1,1,1,0,0.3333,0.4667,1,0,0,4,1.098612,1,0.591859,1,1,1,0
2,1,1,1,0,0.3,1,0.4667,0,0,7,1.94591,1,0.079232,0,0,0,0
2,1,1,1,0,0.3043,1,0.4667,0,0,7,2.197225,1,0.079232,0,0,0,0
