lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx,lev_display_name_alignment,display_name_missing,spamassassin_score,spamassassin_present
1,0.125,0.125,0,0,7,3.258097,1,0.005278,0,0,1,1,0.2143,0,-1.901,1
1,0.3077,0.3077,0,0,4,9.40319,1,0.027188,0,0,1,1,0.1875,0,,0
1,1,1,0,0,8,0,1,0.100642,1,0,1,1,0.7,0,1.1,1
1,1,1,0,0,5,7.837949,1,0.095428,0,0,0,1,0.3077,0,-0.899,1
1,0.1538,0.1538,1,0,6,4.060443,1,0.094383,1,1,1,0,0,0,2.563,1
1,1,1,1,0,8,6.391917,0,,0,0,1,1,0.2308,0,2.5,1
1,0.1875,0.1875,0,0,3,1.098612,1,0.056344,1,1,0,1,,1,,0
1,1,,0,0,3,1.609438,1,0.016236,0,0,1,0,,1,,0
1,0.3077,,0,0,3,0.693147,1,0.012826,1,1,1,0,,1,,0
1,0.2857,0.2857,1,1,8,12.562218,1,0.227013,1,1,1,1,0.1111,0,1.379,1
1,0.0769,0.0769,0,0,3,1.098612,1,0.222392,0,0,1,1,,1,,0
1,0.0714,0.0714,0,0,3,3.828641,1,0.033864,1,1,0,1,,1,10.553,1
1,0.4286,0.4286,0,0,3,2.079442,1,0.028707,1,1,1,1,,1,9.913,1
1,0.3333,,0,0,3,0,1,0.038308,1,1,1,0,,1,,0
1,0.6,0.6,1,1,5,2.302585,1,0.167366,1,1,1,1,0.1667,0,1.589,1
1,0.1111,0.1111,0,0,3,2.484907,1,0.047498,1,1,1,1,,1,6.702,1
1,1,1,1,1,8,12.037707,1,0.762501,1,0,1,1,0.1111,0,2.72,1
1,0.129,,0,0,3,0.693147,0,,1,1,1,0,,1,,0
1,1,0.1429,0,0,5,7.696213,1,0.017048,0,0,1,1,0.2222,0,-2.261,1
1,1,1,0,0,8,3.332205,0,,1,1,1,1,0,0,-0.899,1
1,1,1,0,0,5,8.176673,1,0.095428,0,0,0,1,0.3077,0,-0.899,1
1,1,1,1,1,5,2.564949,1,0.100642,1,0,1,1,0.1622,0,-0.148,1
1,0.2857,0.2857,1,1,8,14.264942,1,0.227013,1,1,1,1,0.1111,0,11.674,1
1,0.6,0.6,1,1,5,3.610918,1,0.167366,1,1,1,1,0.0769,0,0.839,1
1,0.1429,0.1429,0,0,3,6.694562,1,0.024989,0,0,0,1,,1,8.602,1
1,0.1538,0.1538,0,0,3,1.098612,1,0.073574,1,1,0,1,0.1875,0,,0
1,0.7647,0.7647,1,0,6,7.983099,1,0.007332,1,0,0,1,0.9231,0,3.66,1
1,1,1,1,0,9,6.182085,1,0.017048,0,0,1,1,0.125,0,0.1,1
1,1,1,1,1,8,11.242074,1,0.236877,1,0,1,1,0.1,0,5.07,1
1,1,1,0,0,8,4.779123,1,0.063934,1,1,1,1,0.1111,0,-0.899,1
1,0.2727,0.2727,0,0,3,4.094345,1,0.125838,1,1,1,0,,1,10.552,1
1,0.2,0.2,0,0,6,7.037028,1,0.080206,1,1,0,1,0.1667,0,,0
1,1,1,0,0,8,7.679251,1,0.055173,1,1,1,1,0.0833,0,2.6,1
1,0.2,0.2,0,0,3,2.197225,1,0.267864,1,1,0,0,,1,,0
1,0.3125,,0,0,3,1.791759,1,0.034859,1,1,0,0,,1,,0
1,1,1,1,0,4,2.397895,1,0.196995,0,0,1,1,0,0,,0
1,0.6,0.6,1,1,5,2.197225,1,0.167366,1,1,1,1,0.6,0,0.339,1
1,0.6,0.6,1,1,4,1.386294,1,0.167366,1,1,1,1,0.2,0,1.481,1
1,0.3125,0.3125,1,0,4,2.079442,1,0.002407,1,0,1,1,0.1429,0,4.1,1
1,0.3333,,0,0,3,0.693147,1,0.011296,1,0,1,1,,1,,0
1,0.1579,0.1579,0,0,3,0.693147,0,,0,0,1,0,,1,,0
1,0.1538,0.1538,0,0,3,1.098612,1,0.114608,1,0,0,0,,1,,0
1,0.1667,0.1667,0,0,3,0.693147,1,0.052682,1,1,1,1,0.0769,0,,0
1,1,1,1,1,8,9.908276,1,0.49258,0,0,1,1,0.1176,0,11.299,1
1,1,1,0,0,4,2.639057,1,0.003829,0,0,0,1,0.2222,0,0.1,1
,1,1,0,0,4,2.484907,0,,1,1,1,0,,0,13.155,1
1,1,1,1,1,8,12.026665,1,0.49258,0,0,1,1,0.1111,0,11.779,1
1,0.0769,0.0769,0,0,5,7.371489,1,0.007332,1,0,0,1,0.9286,0,0.406,1
1,0.1538,0.1538,0,1,9,11.789443,1,0.227013,1,1,1,1,0.125,0,0.978,1
1,0.1579,,0,0,3,1.386294,0,,1,1,1,0,,1,,0
,,0.3571,0,1,4,2.197225,1,0.208706,0,0,1,0,0.5106,0,,0
1,0.1176,0.1176,0,0,4,5.308268,1,0.151276,1,0,1,1,0.1111,0,-4.865,1
,,0.3571,0,1,4,1.098612,1,0.208706,0,0,1,0,0.5106,0,,0
1,1,1,1,0,4,2.564949,1,0.141551,1,0,1,1,0.0714,0,-5.2,1
1,1,1,1,0,4,3.258097,1,0.141551,1,0,1,1,0.0714,0,-4.21,1
1,0.6667,1,1,1,6,1.386294,1,0.181018,1,1,1,1,0.2,0,,0
